ForestSite;BonClass
12a;3
1;2
10a;2
10w;2
11;3
12e;2
12abl;3
12c;2
12aal;2
13a;2
12s;3
12w;2
15w;2
14a;1
14w;2
15a;2
13e;2
13ho;2
18a;3
17;2
16a;1
16l;1
18d;3
18abl;3
18e;2
18f;3
18sE;3
18s;3
19;3
18w;2
24*U;2
19ps;2
20a;3
1ho;2
2;2
25;3
25*;2
20g;3
21;2
22;2
22*;1
22e;2
23;1
29le;3
26a;3
29;3
26f;3
26ho;3
26w;3
27a;2
25*Fe;1
27f;2
27ho;2
27w;2
28;3
46a;2
30;2
32;1
31;1
32*;1
38;1
39;1
41;1
45;1
49a;2
46s;2
46sti;3
48;2
46ati;3
46e;2
50a;3
50*;3
49F;2
49ho;2
50d;3
50aP;3
50abl;3
50f;3
51;3
53a;1
55;3
53e;1
54*;2
57a;2
56;1
56ho;1
6;3
57abl;1
57aC;2
57b;2
59*;1
60*;2
67;1
60a;2
60d;2
61;1
62;1
63;1
63G;1
65;1
7*;3
69;1
69G;1
67G;1
68;1
7a;3
70G;1
70;1
71;1
71G;1
7b;3
7g;3
7e;3
7f;3
7s;3
8*;3
8a;3
8b;3
8d;3
8f;3
8e;3
9a;3
8s;3
8g;3
AV;1
9abl;3
9w;2
9aal;2
Pio;1
0;?
